年度季別,醫事機構代碼,醫事機構名稱,特約類別,血清白蛋白檢查人數,腹膜透析人數,血清白蛋白受檢率,檢測方法,院所腎臟專科醫師數,院所是否參與健保計畫,院所是否參與國健署計畫,縣市別,鄉鎮別
95年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,89.00,95.00,0.9368,BCG,6,否,否,基隆市,安樂區
95年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,99.00,102.00,0.9705,BCP,6,否,否,基隆市,安樂區
95年第三季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,102.00,106.00,0.9622,BCP,8,否,否,基隆市,安樂區
95年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,103.00,105.00,0.9809,BCP,8,是,否,基隆市,安樂區
96年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,102.00,105.00,0.9714,BCP,8,是,否,基隆市,安樂區
96年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,109.00,109.00,1.0000,BCP,8,是,否,基隆市,安樂區
96年第三季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,115.00,115.00,1.0000,BCP,10,是,否,基隆市,安樂區
96年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,116.00,116.00,1.0000,BCP,9,是,否,基隆市,安樂區
97年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,118.00,118.00,1.0000,BCP,8,是,否,基隆市,安樂區
97年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,117.00,118.00,0.9915,BCP,8,是,否,基隆市,安樂區
97年第三季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,121.00,121.00,1.0000,BCP,10,是,否,基隆市,安樂區
97年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,112.00,113.00,0.9911,BCP,9,是,否,基隆市,安樂區
98年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,117.00,118.00,0.9915,BCP,9,是,是,基隆市,安樂區
98年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,119.00,123.00,0.9674,BCP,8,是,是,基隆市,安樂區
98年第三季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,118.00,119.00,0.9915,BCP,9,是,是,基隆市,安樂區
98年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,120.00,122.00,0.9836,BCP,9,是,是,基隆市,安樂區
99年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,130.00,134.00,0.9701,BCP,9,是,是,基隆市,安樂區
99年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,136.00,136.00,1.0000,BCP,9,是,是,基隆市,安樂區
99年第三季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,136.00,137.00,0.9927,BCP,11,是,是,基隆市,安樂區
99年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,140.00,142.00,0.9859,BCG,10,是,是,基隆市,安樂區
100年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,149.00,149.00,1.0000,BCP,10,是,是,基隆市,安樂區
100年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,154.00,155.00,0.9935,BCP,10,是,是,基隆市,安樂區
100年第三季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,152.00,153.00,0.9934,BCP,8,是,是,基隆市,安樂區
100年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,156.00,156.00,1.0000,BCP,6,是,是,基隆市,安樂區
101年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,150.00,153.00,0.9803,BCP,9,是,是,基隆市,安樂區
101年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,148.00,149.00,0.9932,BCG,8,是,是,基隆市,安樂區
101年第三季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,141.00,141.00,1.0000,BCG,11,是,是,基隆市,安樂區
101年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,142.00,143.00,0.9930,BCG,10,是,是,基隆市,安樂區
102年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,141.00,142.00,0.9929,BCG,10,是,是,基隆市,安樂區
102年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,137.00,138.00,0.9927,BCG,10,是,是,基隆市,安樂區
102年第三季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,141.00,144.00,0.9791,BCG,12,是,是,基隆市,安樂區
102年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,143.00,146.00,0.9794,BCG,11,是,是,基隆市,安樂區
103年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,144.00,146.00,0.9863,BCG,11,是,是,基隆市,安樂區
103年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,137.00,140.00,0.9785,BCG,10,是,是,基隆市,安樂區
103年第三季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,130.00,131.00,0.9923,BCG,9,是,是,基隆市,安樂區
103年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,134.00,135.00,0.9925,BCG,9,是,是,基隆市,安樂區
104年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,119.00,119.00,1.0000,BCG,10,是,是,基隆市,安樂區
104年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,126.00,126.00,1.0000,BCG,9,是,是,基隆市,安樂區
104年第三季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,126.00,126.00,1.0000,BCG,11,是,否,基隆市,安樂區
104年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,123.00,123.00,1.0000,BCG,11,是,否,基隆市,安樂區
105年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,127.00,127.00,1.0000,BCG,11,是,是,基隆市,安樂區
105年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,127.00,127.00,1.0000,BCG,11,是,是,基隆市,安樂區
105年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,132.00,133.00,0.9925,BCG,12,是,否,基隆市,安樂區
106年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,135.00,135.00,1.0000,BCG,12,是,是,基隆市,安樂區
106年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,130.00,130.00,1.0000,BCG,10,是,是,基隆市,安樂區
106年第三季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,137.00,137.00,1.0000,BCG,11,是,否,基隆市,安樂區
106年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,134.00,135.00,0.9926,BCG,11,是,否,基隆市,安樂區
107年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,133.00,133.00,1.0000,BCG,11,是,否,基隆市,安樂區
107年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,129.00,131.00,0.9847,BCG,11,是,否,基隆市,安樂區
107年第三季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,126.00,127.00,0.9921,BCG,13,是,否,基隆市,安樂區
107年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,135.00,137.00,0.9854,BCG,13,是,否,基隆市,安樂區
108年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,138.00,140.00,0.9857,BCG,11,是,否,基隆市,安樂區
108年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,149.00,151.00,0.9868,BCG,11,是,否,基隆市,安樂區
108年第三季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,139.00,141.00,0.9858,BCG,13,是,否,基隆市,安樂區
108年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,135.00,137.00,0.9854,BCG,12,是,否,基隆市,安樂區
109年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,130.00,134.00,0.9701,BCG,12,是,否,基隆市,安樂區
109年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,133.00,137.00,0.9708,BCG,12,是,否,基隆市,安樂區
109年第三季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,134.00,138.00,0.9710,BCG,13,是,否,基隆市,安樂區
109年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,137.00,141.00,0.9716,BCG,12,是,否,基隆市,安樂區
110年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,133.00,137.00,0.9708,BCG,12,是,否,基隆市,安樂區
110年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,137.00,142.00,0.9648,BCG,12,是,否,基隆市,安樂區
110年第三季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,135.00,140.00,0.9643,BCG,12,是,否,基隆市,安樂區
110年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,130.00,135.00,0.9630,BCG,11,是,否,基隆市,安樂區
111年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,129.00,138.00,0.9348,BCG,11,是,否,基隆市,安樂區
111年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,134.00,141.00,0.9504,BCG,11,是,否,基隆市,安樂區
111年第三季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,134.00,141.00,0.9504,BCG,11,是,否,基隆市,安樂區
111年第四季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,129.00,136.00,0.9485,BCG,11,是,否,基隆市,安樂區
112年第一季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,121.00,127.00,0.9528,BCG,11,是,否,基隆市,安樂區
112年第二季,1111060015,長庚醫療財團法人基隆長庚紀念醫院,區域醫院,128.00,130.00,0.9846,BCG,11,是,否,基隆市,安樂區
95年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,6.00,6.00,1.0000,BCP,2,否,否,新竹市,東區
96年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,7.00,7.00,1.0000,BCP,2,是,否,新竹市,東區
96年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,8.00,8.00,1.0000,BCP,2,是,否,新竹市,東區
96年第三季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,8.00,9.00,0.8888,BCP,1,是,否,新竹市,東區
96年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,7.00,7.00,1.0000,BCP,1,是,否,新竹市,東區
97年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,7.00,7.00,1.0000,BCP,2,是,否,新竹市,東區
97年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,9.00,9.00,1.0000,BCP,2,是,否,新竹市,東區
97年第三季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,9.00,9.00,1.0000,BCP,2,是,否,新竹市,東區
97年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,9.00,9.00,1.0000,BCP,2,是,否,新竹市,東區
98年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,11.00,11.00,1.0000,BCP,2,是,否,新竹市,東區
98年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,11.00,13.00,0.8461,BCP,2,是,否,新竹市,東區
98年第三季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,11.00,11.00,1.0000,BCP,3,是,否,新竹市,東區
98年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,11.00,11.00,1.0000,BCP,3,是,否,新竹市,東區
99年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,12.00,12.00,1.0000,BCP,3,是,否,新竹市,東區
99年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,11.00,12.00,0.9166,BCP,2,是,否,新竹市,東區
99年第三季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,18.00,18.00,1.0000,BCP,4,是,否,新竹市,東區
99年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,18.00,19.00,0.9473,BCG,4,是,否,新竹市,東區
100年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,19.00,20.00,0.9500,BCG,4,是,,新竹市,東區
100年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,23.00,23.00,1.0000,BCG,4,是,,新竹市,東區
100年第三季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,23.00,24.00,0.9583,BCG,4,是,,新竹市,東區
100年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,25.00,25.00,1.0000,BCG,4,是,,新竹市,東區
101年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,26.00,26.00,1.0000,BCG,4,是,否,新竹市,東區
101年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,27.00,27.00,1.0000,BCG,4,是,否,新竹市,東區
101年第三季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,26.00,28.00,0.9285,BCG,4,是,否,新竹市,東區
101年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,26.00,27.00,0.9629,BCG,4,是,否,新竹市,東區
102年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,28.00,28.00,1.0000,BCG,4,是,否,新竹市,東區
102年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,28.00,29.00,0.9655,BCG,4,是,否,新竹市,東區
102年第三季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,29.00,29.00,1.0000,BCG,5,是,否,新竹市,東區
102年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,30.00,30.00,1.0000,BCG,5,是,否,新竹市,東區
103年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,30.00,31.00,0.9677,BCG,5,是,否,新竹市,東區
103年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,33.00,1.0000,BCG,5,是,否,新竹市,東區
103年第三季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,33.00,1.0000,BCG,5,是,否,新竹市,東區
103年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,34.00,0.9705,BCG,5,是,否,新竹市,東區
104年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,32.00,32.00,1.0000,BCG,5,是,否,新竹市,東區
104年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,32.00,32.00,1.0000,BCG,5,是,否,新竹市,東區
104年第三季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,32.00,32.00,1.0000,BCG,5,是,否,新竹市,東區
104年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,33.00,1.0000,BCG,4,是,否,新竹市,東區
105年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,33.00,1.0000,BCG,5,是,否,新竹市,東區
105年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,33.00,1.0000,BCG,5,是,否,新竹市,東區
105年第三季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,33.00,1.0000,BCG,5,是,否,新竹市,東區
105年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,35.00,35.00,1.0000,BCG,5,是,否,新竹市,東區
106年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,36.00,37.00,0.9730,BCG,5,是,否,新竹市,東區
106年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,34.00,0.9706,BCG,5,是,否,新竹市,東區
106年第三季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,34.00,0.9706,BCG,4,是,否,新竹市,東區
106年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,35.00,36.00,0.9722,BCG,4,是,否,新竹市,東區
107年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,31.00,32.00,0.9688,BCG,4,是,否,新竹市,東區
107年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,34.00,35.00,0.9714,BCG,3,是,否,新竹市,東區
107年第三季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,34.00,0.9706,BCG,3,是,否,新竹市,東區
107年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,30.00,31.00,0.9677,BCG,3,是,否,新竹市,東區
108年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,32.00,33.00,0.9697,BCG,3,是,否,新竹市,東區
108年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,34.00,0.9706,BCG,3,是,否,新竹市,東區
108年第三季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,34.00,0.9706,BCG,3,是,否,新竹市,東區
108年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,34.00,35.00,0.9714,BCG,3,是,否,新竹市,東區
109年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,34.00,35.00,0.9714,BCG,3,是,否,新竹市,東區
109年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,33.00,1.0000,BCG,3,是,否,新竹市,東區
109年第三季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,33.00,1.0000,BCG,3,是,否,新竹市,東區
109年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,32.00,32.00,1.0000,BCG,3,是,否,新竹市,東區
110年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,32.00,32.00,1.0000,BCG,3,是,否,新竹市,東區
110年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,30.00,30.00,1.0000,BCG,3,是,否,新竹市,東區
110年第三季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,32.00,32.00,1.0000,BCG,3,是,否,新竹市,東區
110年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,33.00,1.0000,BCG,3,是,否,新竹市,東區
111年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,33.00,1.0000,BCG,3,是,否,新竹市,東區
111年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,33.00,33.00,1.0000,BCG,3,是,否,新竹市,東區
111年第三季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,32.00,32.00,1.0000,BCG,3,是,否,新竹市,東區
111年第四季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,30.00,30.00,1.0000,BCG,3,是,否,新竹市,東區
112年第一季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,29.00,29.00,1.0000,BCG,3,是,否,新竹市,東區
112年第二季,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,區域醫院,28.00,28.00,1.0000,BCG,4,是,否,新竹市,東區
95年第一季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,4.00,4.00,1.0000,BCP,1,否,否,新竹市,東區
95年第二季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,4.00,4.00,1.0000,BCP,1,否,否,新竹市,東區
95年第三季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,8.00,8.00,1.0000,BCP,2,否,否,新竹市,東區
95年第四季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,9.00,10.00,0.9000,BCP,2,否,否,新竹市,東區
96年第一季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,10.00,10.00,1.0000,BCP,2,否,否,新竹市,東區
96年第二季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,13.00,13.00,1.0000,BCP,2,否,否,新竹市,東區
96年第三季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,15.00,16.00,0.9375,BCP,3,否,否,新竹市,東區
96年第四季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,17.00,17.00,1.0000,BCP,2,否,否,新竹市,東區
97年第一季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,19.00,19.00,1.0000,BCP,1,否,否,新竹市,東區
97年第二季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,21.00,21.00,1.0000,BCP,1,否,否,新竹市,東區
97年第三季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,20.00,20.00,1.0000,BCP,1,否,否,新竹市,東區
97年第四季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,22.00,22.00,1.0000,BCP,1,否,否,新竹市,東區
98年第一季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,22.00,22.00,1.0000,BCP,1,否,否,新竹市,東區
98年第二季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,26.00,26.00,1.0000,BCP,1,否,否,新竹市,東區
98年第三季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,26.00,26.00,1.0000,BCP,1,否,否,新竹市,東區
98年第四季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,28.00,28.00,1.0000,BCP,1,否,否,新竹市,東區
99年第一季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,29.00,29.00,1.0000,BCP,1,否,否,新竹市,東區
99年第二季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,32.00,32.00,1.0000,BCP,1,否,否,新竹市,東區
99年第三季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,29.00,29.00,1.0000,BCP,1,否,否,新竹市,東區
99年第四季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,30.00,30.00,1.0000,BCG,1,否,否,新竹市,東區
100年第一季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,29.00,29.00,1.0000,BCG,2,否,,新竹市,東區
100年第二季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,26.00,26.00,1.0000,BCG,2,否,,新竹市,東區
100年第三季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,29.00,29.00,1.0000,BCG,2,是,,新竹市,東區
100年第四季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,30.00,30.00,1.0000,BCG,2,是,,新竹市,東區
101年第一季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,29.00,29.00,1.0000,BCG,2,是,是,新竹市,東區
101年第二季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,29.00,29.00,1.0000,BCG,2,是,是,新竹市,東區
101年第三季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,28.00,28.00,1.0000,BCG,2,是,是,新竹市,東區
101年第四季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,30.00,30.00,1.0000,BCG,2,是,是,新竹市,東區
102年第一季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,32.00,32.00,1.0000,BCG,2,是,是,新竹市,東區
102年第二季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,30.00,31.00,0.9677,BCG,2,是,是,新竹市,東區
102年第三季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,33.00,33.00,1.0000,BCG,2,是,是,新竹市,東區
102年第四季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,31.00,33.00,0.9393,BCG,2,是,是,新竹市,東區
103年第一季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,32.00,33.00,0.9696,BCG,2,是,是,新竹市,東區
103年第二季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,31.00,32.00,0.9687,BCG,2,是,是,新竹市,東區
103年第三季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,30.00,30.00,1.0000,BCG,2,是,是,新竹市,東區
103年第四季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,30.00,30.00,1.0000,BCG,2,是,是,新竹市,東區
104年第一季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,28.00,29.00,0.9655,BCG,2,是,是,新竹市,東區
104年第二季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,29.00,29.00,1.0000,BCG,2,是,是,新竹市,東區
104年第三季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,32.00,32.00,1.0000,BCG,3,是,否,新竹市,東區
104年第四季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,31.00,31.00,1.0000,BCG,3,是,否,新竹市,東區
105年第一季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,32.00,32.00,1.0000,BCG,3,是,是,新竹市,東區
105年第二季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,31.00,31.00,1.0000,BCG,3,是,是,新竹市,東區
105年第三季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,30.00,30.00,1.0000,BCG,3,是,否,新竹市,東區
105年第四季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,28.00,28.00,1.0000,BCG,3,是,否,新竹市,東區
106年第一季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,24.00,24.00,1.0000,BCG,3,是,是,新竹市,東區
106年第二季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,26.00,26.00,1.0000,BCG,3,是,是,新竹市,東區
106年第三季,1112010528,國泰醫療財團法人新竹國泰綜合醫院,地區醫院,32.00,32.00,1.0000,BCG,2,是,否,新竹市,東區
