年度,醫事機構代碼,醫事機構名稱,特約類別,瘻管重建人次數,血液透析透析人月數,瘻管重建率_每1000人月,院所腎臟專科醫師數,院所是否參與健保計畫,院所是否參與國健署計畫,縣市別,鄉鎮別
95年第二季,1537010040,信生醫院,地區醫院,0.00,394.40,0.0000,1,否,否,彰化縣,彰化市
95年第四季,1537010040,信生醫院,地區醫院,0.00,416.00,0.0000,1,否,否,彰化縣,彰化市
96年第二季,1537010040,信生醫院,地區醫院,0.00,368.90,0.0000,1,否,否,彰化縣,彰化市
96年第四季,1537010040,信生醫院,地區醫院,0.00,386.70,0.0000,1,否,否,彰化縣,彰化市
97年第二季,1537010040,信生醫院,地區醫院,0.00,369.50,0.0000,1,否,否,彰化縣,彰化市
97年第四季,1537010040,信生醫院,地區醫院,0.00,376.50,0.0000,1,否,否,彰化縣,彰化市
98年第二季,1537010040,信生醫院,地區醫院,0.00,406.50,0.0000,1,否,否,彰化縣,彰化市
98年第四季,1537010040,信生醫院,地區醫院,0.00,415.30,0.0000,1,否,否,彰化縣,彰化市
99年第二季,1537010040,信生醫院,地區醫院,0.00,403.10,0.0000,1,否,否,彰化縣,彰化市
99年第四季,1537010040,信生醫院,地區醫院,0.00,423.60,0.0000,1,是,否,彰化縣,彰化市
100年第二季,1537010040,信生醫院,地區醫院,0.00,404.40,0.0000,1,是,,彰化縣,彰化市
100年第四季,1537010040,信生醫院,地區醫院,0.00,459.90,0.0000,1,是,,彰化縣,彰化市
101年第二季,1537010040,信生醫院,地區醫院,0.00,437.30,0.0000,1,是,否,彰化縣,彰化市
101年第四季,1537010040,信生醫院,地區醫院,0.00,449.10,0.0000,1,是,否,彰化縣,彰化市
102年第二季,1537010040,信生醫院,地區醫院,0.00,440.30,0.0000,1,是,是,彰化縣,彰化市
102年第四季,1537010040,信生醫院,地區醫院,1.00,448.50,0.0022,1,是,是,彰化縣,彰化市
103年第二季,1537010040,信生醫院,地區醫院,0.00,438.30,0.0000,1,是,是,彰化縣,彰化市
103年第四季,1537010040,信生醫院,地區醫院,0.00,443.00,0.0000,1,是,是,彰化縣,彰化市
104年第二季,1537010040,信生醫院,地區醫院,0.00,477.00,0.0000,1,是,是,彰化縣,彰化市
104年第四季,1537010040,信生醫院,地區醫院,0.00,479.00,0.0000,1,是,否,彰化縣,彰化市
105年第二季,1537010040,信生醫院,地區醫院,0.00,465.00,0.0000,1,是,是,彰化縣,彰化市
105年第四季,1537010040,信生醫院,地區醫院,0.00,468.00,0.0000,1,是,否,彰化縣,彰化市
106年第二季,1537010040,信生醫院,地區醫院,0.00,472.00,0.0000,1,是,是,彰化縣,彰化市
106年第四季,1537010040,信生醫院,地區醫院,0.00,430.00,0.0000,1,是,否,彰化縣,彰化市
107年第二季,1537010040,信生醫院,地區醫院,0.00,468.00,0.0000,1,是,否,彰化縣,彰化市
107年第四季,1537010040,信生醫院,地區醫院,0.00,513.00,0.0000,1,是,否,彰化縣,彰化市
108年第二季,1537010040,信生醫院,地區醫院,0.00,558.00,0.0000,1,否,否,彰化縣,彰化市
108年第四季,1537010040,信生醫院,地區醫院,0.00,539.00,0.0000,1,否,否,彰化縣,彰化市
109年第二季,1537010040,信生醫院,地區醫院,5.00,344.00,0.0145,1,否,否,彰化縣,彰化市
109年第四季,1537010040,信生醫院,地區醫院,4.00,364.00,0.0110,1,否,否,彰化縣,彰化市
110年第二季,1537010040,信生醫院,地區醫院,2.00,383.00,0.0052,1,否,否,彰化縣,彰化市
110年第四季,1537010040,信生醫院,地區醫院,4.00,363.00,0.0110,1,否,否,彰化縣,彰化市
111年第二季,1537010040,信生醫院,地區醫院,1.00,380.00,0.0026,1,否,否,彰化縣,彰化市
111年第四季,1537010040,信生醫院,地區醫院,0.00,335.00,0.0000,1,否,否,彰化縣,彰化市
112年第二季,1537010040,信生醫院,地區醫院,1.00,401.00,0.0025,1,否,否,彰化縣,彰化市
95年第二季,1537010175,冠華醫院,地區醫院,12.00,292.70,0.0409,1,否,否,彰化縣,彰化市
95年第四季,1537010175,冠華醫院,地區醫院,0.00,277.40,0.0000,1,否,否,彰化縣,彰化市
96年第二季,1537010175,冠華醫院,地區醫院,0.00,267.60,0.0000,1,否,否,彰化縣,彰化市
96年第四季,1537010175,冠華醫院,地區醫院,0.00,293.50,0.0000,1,否,否,彰化縣,彰化市
97年第二季,1537010175,冠華醫院,地區醫院,0.00,271.70,0.0000,1,否,否,彰化縣,彰化市
97年第四季,1537010175,冠華醫院,地區醫院,0.00,273.70,0.0000,1,否,否,彰化縣,彰化市
98年第二季,1537010175,冠華醫院,地區醫院,1.00,265.60,0.0037,1,否,否,彰化縣,彰化市
98年第四季,1537010175,冠華醫院,地區醫院,0.00,275.70,0.0000,1,否,否,彰化縣,彰化市
99年第二季,1537010175,冠華醫院,地區醫院,0.00,284.40,0.0000,1,否,否,彰化縣,彰化市
99年第四季,1537010175,冠華醫院,地區醫院,0.00,289.20,0.0000,1,否,否,彰化縣,彰化市
100年第二季,1537010175,冠華醫院,地區醫院,0.00,293.10,0.0000,1,否,,彰化縣,彰化市
100年第四季,1537010175,冠華醫院,地區醫院,0.00,293.10,0.0000,1,否,,彰化縣,彰化市
101年第二季,1537010175,冠華醫院,地區醫院,0.00,286.70,0.0000,1,否,否,彰化縣,彰化市
101年第四季,1537010175,冠華醫院,地區醫院,0.00,295.20,0.0000,1,否,否,彰化縣,彰化市
102年第二季,1537010175,冠華醫院,地區醫院,0.00,319.30,0.0000,1,否,否,彰化縣,彰化市
102年第四季,1537010175,冠華醫院,地區醫院,0.00,334.60,0.0000,1,否,否,彰化縣,彰化市
103年第二季,1537010175,冠華醫院,地區醫院,0.00,320.40,0.0000,1,否,否,彰化縣,彰化市
103年第四季,1537010175,冠華醫院,地區醫院,0.00,317.00,0.0000,1,否,否,彰化縣,彰化市
104年第二季,1537010175,冠華醫院,地區醫院,0.00,306.00,0.0000,1,否,否,彰化縣,彰化市
104年第四季,1537010175,冠華醫院,地區醫院,0.00,308.00,0.0000,1,否,否,彰化縣,彰化市
105年第二季,1537010175,冠華醫院,地區醫院,0.00,303.00,0.0000,1,否,否,彰化縣,彰化市
105年第四季,1537010175,冠華醫院,地區醫院,0.00,294.00,0.0000,1,否,否,彰化縣,彰化市
106年第二季,1537010175,冠華醫院,地區醫院,1.00,311.00,0.0032,1,否,否,彰化縣,彰化市
106年第四季,1537010175,冠華醫院,地區醫院,0.00,318.00,0.0000,1,否,否,彰化縣,彰化市
107年第二季,1537010175,冠華醫院,地區醫院,2.00,326.00,0.0061,1,否,否,彰化縣,彰化市
107年第四季,1537010175,冠華醫院,地區醫院,1.00,338.00,0.0030,1,否,否,彰化縣,彰化市
108年第二季,1537010175,冠華醫院,地區醫院,1.00,322.00,0.0031,1,否,否,彰化縣,彰化市
108年第四季,1537010175,冠華醫院,地區醫院,0.00,297.00,0.0000,1,否,否,彰化縣,彰化市
109年第二季,1537010175,冠華醫院,地區醫院,0.00,232.00,0.0000,1,否,否,彰化縣,彰化市
109年第四季,1537010175,冠華醫院,地區醫院,0.00,239.00,0.0000,1,否,否,彰化縣,彰化市
110年第二季,1537010175,冠華醫院,地區醫院,1.00,262.00,0.0038,1,否,否,彰化縣,彰化市
110年第四季,1537010175,冠華醫院,地區醫院,0.00,244.00,0.0000,1,否,否,彰化縣,彰化市
111年第二季,1537010175,冠華醫院,地區醫院,0.00,271.00,0.0000,1,否,否,彰化縣,彰化市
111年第四季,1537010175,冠華醫院,地區醫院,0.00,270.00,0.0000,1,否,否,彰化縣,彰化市
112年第二季,1537010175,冠華醫院,地區醫院,0.00,269.00,0.0000,1,否,否,彰化縣,彰化市
95年第二季,1537040066,卓醫院,地區醫院,0.00,295.70,0.0000,1,否,否,彰化縣,北斗鎮
95年第四季,1537040066,卓醫院,地區醫院,0.00,261.30,0.0000,1,否,否,彰化縣,北斗鎮
96年第二季,1537040066,卓醫院,地區醫院,0.00,285.60,0.0000,1,否,否,彰化縣,北斗鎮
96年第四季,1537040066,卓醫院,地區醫院,0.00,346.10,0.0000,1,否,否,彰化縣,北斗鎮
97年第二季,1537040066,卓醫院,地區醫院,0.00,338.20,0.0000,1,否,否,彰化縣,北斗鎮
97年第四季,1537040066,卓醫院,地區醫院,0.00,340.50,0.0000,1,否,否,彰化縣,北斗鎮
98年第二季,1537040066,卓醫院,地區醫院,0.00,338.30,0.0000,1,否,否,彰化縣,北斗鎮
98年第四季,1537040066,卓醫院,地區醫院,0.00,356.80,0.0000,1,否,否,彰化縣,北斗鎮
99年第二季,1537040066,卓醫院,地區醫院,0.00,342.00,0.0000,1,否,否,彰化縣,北斗鎮
99年第四季,1537040066,卓醫院,地區醫院,0.00,368.10,0.0000,1,否,否,彰化縣,北斗鎮
100年第二季,1537040066,卓醫院,地區醫院,0.00,360.00,0.0000,1,否,,彰化縣,北斗鎮
100年第四季,1537040066,卓醫院,地區醫院,1.00,352.10,0.0028,1,否,,彰化縣,北斗鎮
101年第二季,1537040066,卓醫院,地區醫院,0.00,348.10,0.0000,1,否,否,彰化縣,北斗鎮
101年第四季,1537040066,卓醫院,地區醫院,0.00,350.10,0.0000,1,否,否,彰化縣,北斗鎮
102年第二季,1537040066,卓醫院,地區醫院,0.00,276.60,0.0000,1,否,否,彰化縣,北斗鎮
102年第四季,1537040066,卓醫院,地區醫院,0.00,309.40,0.0000,1,否,否,彰化縣,北斗鎮
103年第二季,1537040066,卓醫院,地區醫院,0.00,282.80,0.0000,1,否,否,彰化縣,北斗鎮
103年第四季,1537040066,卓醫院,地區醫院,2.00,281.80,0.0070,1,否,否,彰化縣,北斗鎮
104年第二季,1537040066,卓醫院,地區醫院,0.00,310.00,0.0000,1,否,否,彰化縣,北斗鎮
104年第四季,1537040066,卓醫院,地區醫院,0.00,292.00,0.0000,1,否,否,彰化縣,北斗鎮
105年第二季,1537040066,卓醫院,地區醫院,0.00,294.00,0.0000,1,否,否,彰化縣,北斗鎮
105年第四季,1537040066,卓醫院,地區醫院,0.00,297.00,0.0000,1,否,否,彰化縣,北斗鎮
106年第二季,1537040066,卓醫院,地區醫院,0.00,302.00,0.0000,1,否,否,彰化縣,北斗鎮
106年第四季,1537040066,卓醫院,地區醫院,0.00,286.00,0.0000,1,否,否,彰化縣,北斗鎮
107年第二季,1537040066,卓醫院,地區醫院,0.00,276.00,0.0000,1,否,否,彰化縣,北斗鎮
107年第四季,1537040066,卓醫院,地區醫院,0.00,278.00,0.0000,1,否,否,彰化縣,北斗鎮
108年第二季,1537040066,卓醫院,地區醫院,0.00,299.00,0.0000,1,否,否,彰化縣,北斗鎮
108年第四季,1537040066,卓醫院,地區醫院,0.00,283.00,0.0000,1,否,否,彰化縣,北斗鎮
109年第二季,1537040066,卓醫院,地區醫院,4.00,202.00,0.0198,1,否,否,彰化縣,北斗鎮
109年第四季,1537040066,卓醫院,地區醫院,0.00,223.00,0.0000,1,否,否,彰化縣,北斗鎮
110年第二季,1537040066,卓醫院,地區醫院,2.00,220.00,0.0091,1,否,否,彰化縣,北斗鎮
110年第四季,1537040066,卓醫院,地區醫院,0.00,225.00,0.0000,1,否,否,彰化縣,北斗鎮
111年第二季,1537040066,卓醫院,地區醫院,1.00,257.00,0.0039,1,否,否,彰化縣,北斗鎮
111年第四季,1537040066,卓醫院,地區醫院,1.00,247.00,0.0040,1,否,否,彰化縣,北斗鎮
112年第二季,1537040066,卓醫院,地區醫院,2.00,223.00,0.0090,1,否,否,彰化縣,北斗鎮
95年第二季,1537050071,員林何醫院,地區醫院,1.00,573.80,0.0017,1,否,否,彰化縣,員林市
95年第四季,1537050071,員林何醫院,地區醫院,2.00,610.10,0.0032,1,是,否,彰化縣,員林市
96年第二季,1537050071,員林何醫院,地區醫院,1.00,641.00,0.0015,1,是,否,彰化縣,員林市
96年第四季,1537050071,員林何醫院,地區醫院,3.00,645.90,0.0046,1,是,否,彰化縣,員林市
97年第二季,1537050071,員林何醫院,地區醫院,2.00,605.50,0.0033,1,否,否,彰化縣,員林市
97年第四季,1537050071,員林何醫院,地區醫院,0.00,562.60,0.0000,1,否,否,彰化縣,員林市
98年第二季,1537050071,員林何醫院,地區醫院,2.00,520.70,0.0038,1,否,否,彰化縣,員林市
98年第四季,1537050071,員林何醫院,地區醫院,4.00,525.00,0.0076,1,否,否,彰化縣,員林市
99年第二季,1537050071,員林何醫院,地區醫院,5.00,524.50,0.0095,1,否,否,彰化縣,員林市
99年第四季,1537050071,員林何醫院,地區醫院,6.00,541.40,0.0110,1,否,否,彰化縣,員林市
100年第二季,1537050071,員林何醫院,地區醫院,2.00,527.10,0.0037,1,否,,彰化縣,員林市
100年第四季,1537050071,員林何醫院,地區醫院,3.00,516.40,0.0058,1,否,,彰化縣,員林市
101年第二季,1537050071,員林何醫院,地區醫院,4.00,513.30,0.0077,1,否,否,彰化縣,員林市
101年第四季,1537050071,員林何醫院,地區醫院,1.00,508.30,0.0019,1,否,否,彰化縣,員林市
102年第二季,1537050071,員林何醫院,地區醫院,0.00,490.20,0.0000,1,否,否,彰化縣,員林市
102年第四季,1537050071,員林何醫院,地區醫院,4.00,502.70,0.0079,1,否,否,彰化縣,員林市
103年第二季,1537050071,員林何醫院,地區醫院,3.00,474.60,0.0063,1,否,否,彰化縣,員林市
103年第四季,1537050071,員林何醫院,地區醫院,1.00,465.70,0.0021,1,否,否,彰化縣,員林市
104年第二季,1537050071,員林何醫院,地區醫院,0.00,533.00,0.0000,1,否,否,彰化縣,員林市
104年第四季,1537050071,員林何醫院,地區醫院,0.00,529.00,0.0000,1,否,否,彰化縣,員林市
105年第二季,1537050071,員林何醫院,地區醫院,0.00,536.00,0.0000,1,否,否,彰化縣,員林市
105年第四季,1537050071,員林何醫院,地區醫院,0.00,524.00,0.0000,1,否,否,彰化縣,員林市
106年第二季,1537050071,員林何醫院,地區醫院,0.00,534.00,0.0000,1,否,否,彰化縣,員林市
106年第四季,1537050071,員林何醫院,地區醫院,0.00,516.00,0.0000,1,否,否,彰化縣,員林市
107年第二季,1537050071,員林何醫院,地區醫院,0.00,516.00,0.0000,1,否,否,彰化縣,員林市
107年第四季,1537050071,員林何醫院,地區醫院,0.00,493.00,0.0000,1,否,否,彰化縣,員林市
108年第二季,1537050071,員林何醫院,地區醫院,0.00,513.00,0.0000,1,否,否,彰化縣,員林市
108年第四季,1537050071,員林何醫院,地區醫院,0.00,507.00,0.0000,1,否,否,彰化縣,員林市
109年第二季,1537050071,員林何醫院,地區醫院,2.00,402.00,0.0050,1,否,否,彰化縣,員林市
109年第四季,1537050071,員林何醫院,地區醫院,2.00,328.00,0.0061,1,否,否,彰化縣,員林市
110年第二季,1537050071,員林何醫院,地區醫院,3.00,362.00,0.0083,1,否,否,彰化縣,員林市
110年第四季,1537050071,員林何醫院,地區醫院,1.00,375.00,0.0027,1,否,否,彰化縣,員林市
111年第二季,1537050071,員林何醫院,地區醫院,4.00,413.00,0.0097,1,否,否,彰化縣,員林市
111年第四季,1537050071,員林何醫院,地區醫院,1.00,402.00,0.0025,1,否,否,彰化縣,員林市
112年第二季,1537050071,員林何醫院,地區醫院,1.00,380.00,0.0026,1,否,否,彰化縣,員林市
95年第二季,1537070028,仁和醫院,地區醫院,2.00,463.50,0.0043,1,否,否,彰化縣,田中鎮
95年第四季,1537070028,仁和醫院,地區醫院,2.00,456.00,0.0043,1,否,否,彰化縣,田中鎮
96年第二季,1537070028,仁和醫院,地區醫院,4.00,452.70,0.0088,1,否,否,彰化縣,田中鎮
96年第四季,1537070028,仁和醫院,地區醫院,2.00,427.00,0.0046,,否,否,彰化縣,田中鎮
95年第二季,1538030037,曾漢棋綜合醫院,地區醫院,2.00,325.10,0.0061,2,否,否,南投縣,草屯鎮
95年第四季,1538030037,曾漢棋綜合醫院,地區醫院,2.00,321.10,0.0062,2,否,否,南投縣,草屯鎮
96年第二季,1538030037,曾漢棋綜合醫院,地區醫院,1.00,333.50,0.0029,2,否,否,南投縣,草屯鎮
96年第四季,1538030037,曾漢棋綜合醫院,地區醫院,2.00,335.60,0.0059,2,否,否,南投縣,草屯鎮
97年第二季,1538030037,曾漢棋綜合醫院,地區醫院,2.00,330.20,0.0060,2,否,否,南投縣,草屯鎮
97年第四季,1538030037,曾漢棋綜合醫院,地區醫院,2.00,327.50,0.0061,2,否,否,南投縣,草屯鎮
98年第二季,1538030037,曾漢棋綜合醫院,地區醫院,3.00,291.20,0.0103,2,是,否,南投縣,草屯鎮
98年第四季,1538030037,曾漢棋綜合醫院,地區醫院,6.00,284.10,0.0211,2,是,否,南投縣,草屯鎮
99年第二季,1538030037,曾漢棋綜合醫院,地區醫院,3.00,260.80,0.0115,2,否,否,南投縣,草屯鎮
99年第四季,1538030037,曾漢棋綜合醫院,地區醫院,4.00,272.40,0.0146,2,否,否,南投縣,草屯鎮
100年第二季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,268.70,0.0000,2,否,,南投縣,草屯鎮
100年第四季,1538030037,曾漢棋綜合醫院,地區醫院,1.00,283.90,0.0035,2,否,,南投縣,草屯鎮
101年第二季,1538030037,曾漢棋綜合醫院,地區醫院,2.00,290.50,0.0068,1,否,否,南投縣,草屯鎮
101年第四季,1538030037,曾漢棋綜合醫院,地區醫院,2.00,285.10,0.0070,1,否,否,南投縣,草屯鎮
102年第二季,1538030037,曾漢棋綜合醫院,地區醫院,1.00,258.70,0.0038,1,是,否,南投縣,草屯鎮
102年第四季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,250.30,0.0000,1,是,否,南投縣,草屯鎮
103年第二季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,252.70,0.0000,1,是,否,南投縣,草屯鎮
103年第四季,1538030037,曾漢棋綜合醫院,地區醫院,4.00,269.10,0.0148,1,是,否,南投縣,草屯鎮
104年第二季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,340.00,0.0000,1,是,否,南投縣,草屯鎮
104年第四季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,350.00,0.0000,1,是,否,南投縣,草屯鎮
105年第二季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,369.00,0.0000,1,是,否,南投縣,草屯鎮
105年第四季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,385.00,0.0000,1,是,否,南投縣,草屯鎮
106年第二季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,384.00,0.0000,1,是,否,南投縣,草屯鎮
106年第四季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,398.00,0.0000,1,是,否,南投縣,草屯鎮
107年第二季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,407.00,0.0000,1,是,否,南投縣,草屯鎮
107年第四季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,412.00,0.0000,1,是,否,南投縣,草屯鎮
108年第二季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,422.00,0.0000,1,是,否,南投縣,草屯鎮
108年第四季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,418.00,0.0000,1,是,否,南投縣,草屯鎮
109年第二季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,289.00,0.0000,1,是,否,南投縣,草屯鎮
109年第四季,1538030037,曾漢棋綜合醫院,地區醫院,2.00,320.00,0.0063,1,是,否,南投縣,草屯鎮
110年第二季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,308.00,0.0000,1,是,否,南投縣,草屯鎮
110年第四季,1538030037,曾漢棋綜合醫院,地區醫院,1.00,340.00,0.0029,1,是,否,南投縣,草屯鎮
111年第二季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,327.00,0.0000,1,是,否,南投縣,草屯鎮
111年第四季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,352.00,0.0000,1,是,否,南投縣,草屯鎮
112年第二季,1538030037,曾漢棋綜合醫院,地區醫院,0.00,352.00,0.0000,1,是,否,南投縣,草屯鎮
110年第四季,1538031114,惠和醫院,地區醫院,0.00,167.00,0.0000,2,否,否,南投縣,草屯鎮
111年第二季,1538031114,惠和醫院,地區醫院,1.00,354.00,0.0028,3,否,否,南投縣,草屯鎮
111年第四季,1538031114,惠和醫院,地區醫院,1.00,367.00,0.0027,2,否,否,南投縣,草屯鎮
112年第二季,1538031114,惠和醫院,地區醫院,1.00,342.00,0.0029,2,否,否,南投縣,草屯鎮
95年第二季,1539010048,洪揚醫院,地區醫院,10.00,464.30,0.0215,1,否,否,雲林縣,斗六市
95年第四季,1539010048,洪揚醫院,地區醫院,0.00,500.70,0.0000,1,否,否,雲林縣,斗六市
96年第二季,1539010048,洪揚醫院,地區醫院,1.00,491.50,0.0020,1,否,否,雲林縣,斗六市
96年第四季,1539010048,洪揚醫院,地區醫院,0.00,479.80,0.0000,1,否,否,雲林縣,斗六市
97年第二季,1539010048,洪揚醫院,地區醫院,0.00,468.10,0.0000,1,否,否,雲林縣,斗六市
97年第四季,1539010048,洪揚醫院,地區醫院,2.00,514.20,0.0038,1,否,否,雲林縣,斗六市
98年第二季,1539010048,洪揚醫院,地區醫院,2.00,542.40,0.0036,1,否,否,雲林縣,斗六市
98年第四季,1539010048,洪揚醫院,地區醫院,2.00,554.40,0.0036,1,否,否,雲林縣,斗六市
99年第二季,1539010048,洪揚醫院,地區醫院,3.00,543.70,0.0055,1,否,否,雲林縣,斗六市
99年第四季,1539010048,洪揚醫院,地區醫院,0.00,582.00,0.0000,1,否,否,雲林縣,斗六市
100年第二季,1539010048,洪揚醫院,地區醫院,1.00,563.40,0.0017,1,否,,雲林縣,斗六市
100年第四季,1539010048,洪揚醫院,地區醫院,1.00,567.40,0.0017,1,否,,雲林縣,斗六市
101年第二季,1539010048,洪揚醫院,地區醫院,2.00,538.30,0.0037,1,否,否,雲林縣,斗六市
101年第四季,1539010048,洪揚醫院,地區醫院,1.00,535.50,0.0018,1,否,否,雲林縣,斗六市
102年第二季,1539010048,洪揚醫院,地區醫院,1.00,536.00,0.0018,1,否,否,雲林縣,斗六市
102年第四季,1539010048,洪揚醫院,地區醫院,0.00,552.20,0.0000,1,否,否,雲林縣,斗六市
103年第二季,1539010048,洪揚醫院,地區醫院,2.00,539.60,0.0037,1,否,否,雲林縣,斗六市
103年第四季,1539010048,洪揚醫院,地區醫院,2.00,557.60,0.0035,1,否,否,雲林縣,斗六市
104年第二季,1539010048,洪揚醫院,地區醫院,0.00,645.00,0.0000,1,否,否,雲林縣,斗六市
104年第四季,1539010048,洪揚醫院,地區醫院,0.00,651.00,0.0000,1,否,否,雲林縣,斗六市
105年第二季,1539010048,洪揚醫院,地區醫院,0.00,675.00,0.0000,1,否,否,雲林縣,斗六市
105年第四季,1539010048,洪揚醫院,地區醫院,0.00,634.00,0.0000,1,否,否,雲林縣,斗六市
106年第二季,1539010048,洪揚醫院,地區醫院,0.00,632.00,0.0000,1,否,否,雲林縣,斗六市
106年第四季,1539010048,洪揚醫院,地區醫院,0.00,577.00,0.0000,1,否,否,雲林縣,斗六市
107年第二季,1539010048,洪揚醫院,地區醫院,0.00,618.00,0.0000,1,否,否,雲林縣,斗六市
107年第四季,1539010048,洪揚醫院,地區醫院,0.00,600.00,0.0000,1,否,否,雲林縣,斗六市
108年第二季,1539010048,洪揚醫院,地區醫院,0.00,626.00,0.0000,1,否,否,雲林縣,斗六市
108年第四季,1539010048,洪揚醫院,地區醫院,0.00,625.00,0.0000,1,否,否,雲林縣,斗六市
109年第二季,1539010048,洪揚醫院,地區醫院,1.00,447.00,0.0022,1,否,否,雲林縣,斗六市
109年第四季,1539010048,洪揚醫院,地區醫院,1.00,387.00,0.0026,1,否,否,雲林縣,斗六市
110年第二季,1539010048,洪揚醫院,地區醫院,0.00,413.00,0.0000,1,否,否,雲林縣,斗六市
110年第四季,1539010048,洪揚醫院,地區醫院,0.00,383.00,0.0000,1,否,否,雲林縣,斗六市
111年第二季,1539010048,洪揚醫院,地區醫院,0.00,440.00,0.0000,1,否,否,雲林縣,斗六市
111年第四季,1539010048,洪揚醫院,地區醫院,0.00,363.00,0.0000,1,否,否,雲林縣,斗六市
112年第二季,1539010048,洪揚醫院,地區醫院,0.00,385.00,0.0000,1,否,否,雲林縣,斗六市
95年第二季,1539060011,全生醫院,地區醫院,2.00,217.30,0.0092,1,否,否,雲林縣,北港鎮
95年第四季,1539060011,全生醫院,地區醫院,2.00,208.40,0.0095,1,否,否,雲林縣,北港鎮
96年第二季,1539060011,全生醫院,地區醫院,0.00,225.50,0.0000,1,否,否,雲林縣,北港鎮
96年第四季,1539060011,全生醫院,地區醫院,2.00,205.80,0.0097,1,否,否,雲林縣,北港鎮
97年第二季,1539060011,全生醫院,地區醫院,1.00,219.60,0.0045,1,否,否,雲林縣,北港鎮
97年第四季,1539060011,全生醫院,地區醫院,3.00,211.70,0.0141,1,否,否,雲林縣,北港鎮
98年第二季,1539060011,全生醫院,地區醫院,2.00,216.00,0.0092,1,否,否,雲林縣,北港鎮
98年第四季,1539060011,全生醫院,地區醫院,2.00,242.20,0.0082,1,否,否,雲林縣,北港鎮
99年第二季,1539060011,全生醫院,地區醫院,1.00,232.40,0.0043,1,否,否,雲林縣,北港鎮
99年第四季,1539060011,全生醫院,地區醫院,2.00,234.10,0.0085,1,否,否,雲林縣,北港鎮
100年第二季,1539060011,全生醫院,地區醫院,3.00,433.60,0.0069,1,否,,雲林縣,北港鎮
100年第四季,1539060011,全生醫院,地區醫院,2.00,426.40,0.0046,1,否,,雲林縣,北港鎮
101年第二季,1539060011,全生醫院,地區醫院,0.00,377.30,0.0000,1,否,否,雲林縣,北港鎮
101年第四季,1539060011,全生醫院,地區醫院,0.00,383.50,0.0000,1,是,否,雲林縣,北港鎮
102年第二季,1539060011,全生醫院,地區醫院,0.00,245.50,0.0000,1,是,否,雲林縣,北港鎮
102年第四季,1539060011,全生醫院,地區醫院,1.00,234.60,0.0042,1,是,否,雲林縣,北港鎮
103年第二季,1539060011,全生醫院,地區醫院,1.00,247.70,0.0040,1,是,否,雲林縣,北港鎮
103年第四季,1539060011,全生醫院,地區醫院,0.00,269.40,0.0000,1,是,否,雲林縣,北港鎮
104年第二季,1539060011,全生醫院,地區醫院,0.00,317.00,0.0000,1,是,否,雲林縣,北港鎮
104年第四季,1539060011,全生醫院,地區醫院,0.00,271.00,0.0000,1,是,否,雲林縣,北港鎮
105年第二季,1539060011,全生醫院,地區醫院,0.00,311.00,0.0000,1,是,否,雲林縣,北港鎮
105年第四季,1539060011,全生醫院,地區醫院,0.00,309.00,0.0000,1,是,否,雲林縣,北港鎮
106年第二季,1539060011,全生醫院,地區醫院,0.00,304.00,0.0000,1,是,否,雲林縣,北港鎮
106年第四季,1539060011,全生醫院,地區醫院,0.00,274.00,0.0000,1,是,否,雲林縣,北港鎮
107年第二季,1539060011,全生醫院,地區醫院,0.00,298.00,0.0000,1,是,否,雲林縣,北港鎮
107年第四季,1539060011,全生醫院,地區醫院,0.00,281.00,0.0000,1,是,否,雲林縣,北港鎮
108年第二季,1539060011,全生醫院,地區醫院,0.00,282.00,0.0000,1,是,否,雲林縣,北港鎮
95年第二季,1541011126,營新醫院,地區醫院,3.00,548.60,0.0054,1,否,否,臺南市,新營區
95年第四季,1541011126,營新醫院,地區醫院,8.00,586.10,0.0136,1,否,否,臺南市,新營區
96年第二季,1541011126,營新醫院,地區醫院,1.00,582.60,0.0017,1,否,否,臺南市,新營區
96年第四季,1541011126,營新醫院,地區醫院,5.00,609.30,0.0082,1,否,否,臺南市,新營區
97年第二季,1541011126,營新醫院,地區醫院,4.00,625.50,0.0063,1,否,否,臺南市,新營區
97年第四季,1541011126,營新醫院,地區醫院,3.00,626.90,0.0047,1,否,否,臺南市,新營區
98年第二季,1541011126,營新醫院,地區醫院,0.00,646.20,0.0000,1,否,否,臺南市,新營區
98年第四季,1541011126,營新醫院,地區醫院,1.00,683.90,0.0014,1,否,否,臺南市,新營區
